MapSize,Avg(Dijkstra_Time),Min(Dijkstra_Time),Max(Dijkstra_Time),Avg(BiDirDijkstra_Time),Min(BiDirDijkstra_Time),Max(BiDirDijkstra_Time),Avg(Astar_Time),Min(Astar_Time),Max(Astar_Time),Avg(BiDirAstar_Time),Min(BiDirAstar_Time),Max(BiDirAstar_Time),Avg(JumpPointSearch_Time),Min(JumpPointSearch_Time),Max(JumpPointSearch_Time),Avg(BiDirJPS_Time),Min(BiDirJPS_Time),Max(BiDirJPS_Time),Avg(Dijkstra_ExploredNodes),Min(Dijkstra_ExploredNodes),Max(Dijkstra_ExploredNodes),Avg(BiDirDijkstra_ExploredNodes),Min(BiDirDijkstra_ExploredNodes),Max(BiDirDijkstra_ExploredNodes),Avg(Astar_ExploredNodes),Min(Astar_ExploredNodes),Max(Astar_ExploredNodes),Avg(BiDirAstar_ExploredNodes),Min(BiDirAstar_ExploredNodes),Max(BiDirAstar_ExploredNodes),Avg(JumpPointSearch_ExploredNodes),Min(JumpPointSearch_ExploredNodes),Max(JumpPointSearch_ExploredNodes),Avg(BiDirJPS_ExploredNodes),Min(BiDirJPS_ExploredNodes),Max(BiDirJPS_ExploredNodes),Avg(Dijkstra_PathLength),Min(Dijkstra_PathLength),Max(Dijkstra_PathLength),Avg(BiDirDijkstra_PathLength),Min(BiDirDijkstra_PathLength),Max(BiDirDijkstra_PathLength),Avg(Astar_PathLength),Min(Astar_PathLength),Max(Astar_PathLength),Avg(BiDirAstar_PathLength),Min(BiDirAstar_PathLength),Max(BiDirAstar_PathLength),Avg(JumpPointSearch_PathLength),Min(JumpPointSearch_PathLength),Max(JumpPointSearch_PathLength),Avg(BiDirJPS_PathLength),Min(BiDirJPS_PathLength),Max(BiDirJPS_PathLength)
10,0.119446994,0.003814697,9.929657,0.07168603,0.003814697,2.080679,0.03984356,0.000953674,0.4384518,0.043719291,0.001907349,0.6153584,0.019413233,0.001430511,2.893925,0.02287054,0.001907349,0.433445,28.57,1,56,15.144,1,38,7.292,1,33,5.602,1,17,3.588,1,10,6.056,2,14,4.822326375,1,11.48528,3.849452917,1,10.07107,4.822326375,1,11.48528,4.801494024,1,14.92745,4.822326354,1,11.48528,5.191851931,1,18.31371
15,0.258803367,0.004768372,0.6446838,0.167747498,0.004291534,0.5111694,0.075334072,0.001907349,0.3824234,0.069912434,0.002861023,0.3252029,0.018673897,0.001907349,0.20504,0.027472972,0.001907349,0.2250671,78.324,1,158,47.815,1,112,17.155,1,81,13.525,1,53,5.001,1,15,7.838,2,18,8.620935887,1,21.31371,7.57047851,1,20.31371,8.622256195,1,21.31371,10.30980888,1,29.33025,8.621768724,1,21.31371,8.943199152,1,21.31371
20,0.269565583,0.003814697,0.7238388,0.18484974,0.003814697,0.5674362,0.073547364,0.000953674,0.4005432,0.069779395,0.002861023,0.2784729,0.02161026,0.000953674,0.1840591,0.031395912,0.001907349,0.2174377,91.447,1,194,58.485,1,166,19.086,1,106,14.171,1,62,6.005,1,22,9.18,2,26,9.30568435,1,23.14213,8.254182538,1,22.14213,9.310082327,1,23.97056,11.33458504,1,33.79899,9.305927907,1,23.14214,9.567981052,1,24.2132
25,0.519242286,0.003814697,1.249313,0.383326531,0.003814697,1.010895,0.208237985,0.001907349,0.9908676,0.206870079,0.001907349,0.7858276,0.037305832,0.001907349,0.2784729,0.048022271,0.001907349,0.2632141,190.886,1,380,140.272,1,314,66.646,1,313,62.8,1,233,12.406,1,51,16.794,2,46,17.68988211,1,45.69848,16.59287318,1,44.69848,17.69283168,1,45.69848,22.8266511,1,62.26822,17.71052995,1,46.28427,18.7858318,1,56.87006
30,0.71991158,0.003814697,1.684189,0.463893892,0.003814697,1.121521,0.232437135,0.001907349,0.9822845,0.208906174,0.001907349,0.837326,0.038923264,0.001907349,0.2746582,0.047180177,0.001907349,0.3166199,268.39,1,540,174.702,1,368,74.394,1,359,63.137,1,235,12.681,1,53,17.45,2,48,19.72384155,1,45.21321,18.65740021,1,44.21321,19.72560598,1,45.21321,25.98278083,1,60.57077,19.72408578,1,45.2132,20.07536809,1,45.2132
35,0.866302492,0.003814697,1.918793,0.832637796,0.003814697,2.475739,0.548154836,0.001907349,1.779556,0.659357065,0.001907349,1.937866,0.057772787,0.001907349,0.2593994,0.07629776,0.001907349,0.333786,338.925,1,701,341.865,1,696,207.279,1,611,257.711,1,697,23.219,1,66,33.474,2,78,35.5718997,1,94.01221,34.48334565,1,93.01221,35.57189971,1,94.01221,46.40039584,1,123.4038,35.57189746,1,94.0122,36.00127599,1,94.0122
40,0.84584427,0.003814697,2.006531,0.633409502,0.003814697,1.623154,0.327353723,0.003814697,1.686096,0.312226672,0.003814697,1.302719,0.05088875,0.003814697,0.2670288,0.0630857,0.003814697,0.2765656,327.395,1,694,249.92,1,590,112.793,1,562,108.021,1,430,18.262,1,77,25.364,2,64,24.68412977,1,60.04163,23.58550204,1,59.04163,24.68809611,1,60.04163,32.8697121,1,90.31397,24.68530402,1,60.04164,25.26794654,1,65.45584
45,1.252197265,0.01144409,2.807617,0.937217717,0.007629395,2.376556,0.605583182,0.003814697,2.235413,0.619350433,0.003814697,2.197266,0.082870483,0.003814697,0.3013611,0.097801209,0.003814697,0.3471375,491.388,2,1008,385.297,2,848,225.18,2,846,235.746,2,869,34.624,2,112,41.14,4,112,35.45780386,1,96.98279,34.35400579,1,95.56857,35.45838969,1,96.98279,46.77467659,1,116.9828,35.45780127,1,96.98276,36.42850456,1,96.98277
50,1.924385068,0.01907349,3.826141,1.125862127,0.007629395,2.83432,0.542346956,0.003814697,2.685547,0.422241209,0.007629395,1.811981,0.078262329,0.003814697,0.3890991,0.092136383,0.007629395,0.3089905,743.365,4,1450,454.801,2,1001,190.1,2,1016,144.092,2,672,29.149,2,167,36.746,4,110,33.65296771,1,79.35535,32.5604661,1,77.94114,33.65482559,1,79.35535,45.80206877,1,116.197,33.6703808,1,79.35535,34.50565743,1,88.35534
55,2.340248114,0.007629395,4.890442,1.5018425,0.003814697,3.391266,0.794883727,0.003814697,4.077911,0.707260137,0.003814697,2.861023,0.123811555,0.007629395,0.617981,0.143177033,0.003814697,0.5493164,923.753,1,1859,621.256,1,1386,296.759,1,1636,262.644,1,1053,51.713,1,286,60.56,2,190,40.34824672,1,98.98279,39.22908707,1,97.98279,40.35142151,1,98.98279,54.30946341,1,129.8801,40.36094274,1,98.98277,41.44735425,1,114.8823
60,2.5990143,0.01525879,5.67627,1.589828495,0.007629395,4.295349,0.856788625,0.007629395,4.165649,0.692961337,0.007629395,3.036499,0.12011131,0.007629395,0.5722046,0.138381959,0.007629395,0.5187988,1027.172,2,2065,664.198,2,1716,319.716,2,1542,257.235,2,1139,47.734,2,223,58.556,4,232,41.91909311,1,92.25487,40.80279244,1,91.25487,41.92177944,1,92.25487,56.38050583,1,134.652,41.94635229,1,92.25484,43.02536888,1,99.98277
65,3.183898928,0.01525879,6.614685,1.832244871,0.007629395,4.554749,0.901368283,0.007629395,5.149841,0.655371864,0.007629395,2.342224,0.124475978,0.007629395,0.7019043,0.140208262,0.007629395,0.5340576,1244.49,1,2478,768.168,1,1931,331.924,1,2003,238.827,1,930,50.05,1,321,57.406,2,222,43.87310716,1,105.5686,42.77183547,1,104.7402,43.87531045,1,105.5686,59.94707507,1,156.3637,43.89931406,1,105.5686,44.98239895,1,105.6691
70,3.702148433,0.01525879,7.995605,1.998382554,0.007629395,4.28009,1.195541383,0.007629395,5.683899,0.886812101,0.007629395,3.173828,0.167015076,0.007629395,0.8010864,0.177742004,0.007629395,0.5722046,1476.606,3,2916,855.177,2,1776,455.135,2,2190,338.111,2,1204,71.678,2,363,74.862,4,240,52.79524552,1,126.8112,51.69066785,1,125.6102,52.79841715,1,126.8112,71.17154318,1,156.3537,52.85294334,1,126.8112,54.11629329,1,135.8823
75,4.295906081,0.02288818,9.025574,2.464210509,0.007629395,6.134033,1.316398623,0.007629395,6.347656,1.080055238,0.007629395,3.486633,0.175949097,0.007629395,0.793457,0.204345703,0.007629395,0.5874634,1697.451,3,3352,1047.375,2,2366,498.88,2,2380,412.805,2,1435,72.137,2,358,87.54,4,266,56.07755973,1,116.5686,54.98239392,1,115.5686,56.07990291,1,116.5686,76.10854815,1,164.4697,56.10866521,1,116.5686,57.17441933,1,122.7107
80,4.761764521,0.03051758,10.34546,2.821287481,0.01525879,6.973267,1.848989115,0.01525879,7.446289,1.583761286,0.01525879,5.92041,0.219366263,0.01525879,0.8850098,0.237275698,0.01525879,0.7629395,1918.236,2,3848,1209.459,2,2983,713.916,2,2916,624.809,2,2246,94.461,2,391,106.76,4,362,65.21700127,1,145.8529,64.15566408,1,144.4387,65.21938606,1,145.8529,87.55658955,1,199.8985,65.24070445,1,145.8528,66.98018181,1,176.1666
85,4.992141717,0.04577637,10.66589,3.297409077,0.01525879,6.92749,2.430137966,0.01525879,9.368896,2.091339123,0.01525879,6.958008,0.263517597,0.01525879,1.144409,0.261040309,0.01525879,0.6713867,2032.002,13,4063,1419.539,6,2866,947.954,3,3641,837.845,3,2947,118.905,2,479,118.85,4,320,76.63163831,2,182.5097,75.52005413,1,181.5097,76.63412356,2,182.5097,99.74389092,1,228.8532,76.72016277,2,182.5097,78.27071394,2.414214,182.5097
90,6.197418245,0.04577637,13.07678,3.280059814,0.01525879,8.865356,1.840469355,0.01525879,10.20813,1.233673093,0.01525879,5.0354,0.244385994,0.01525879,1.190186,0.239436213,0.01525879,0.793457,2466.433,8,4863,1401.046,2,3440,698.491,2,3888,471.359,2,1993,103.697,2,591,103.548,4,362,65.60285308,1.414214,145.0539,64.48335626,1.414214,143.6397,65.60319626,1.414214,145.0539,89.71433145,1.414214,203.414,65.67130449,1.414214,145.397,67.43088397,3,156.6102
95,6.855178821,0.04577637,14.17542,3.678895559,0.01525879,9.796143,2.188629144,0.01525879,11.94763,1.516525255,0.01525879,5.966187,0.25461384,0.01525879,1.419067,0.244964599,0.01525879,0.793457,2725.323,14,5399,1570.845,3,3909,832.346,4,4510,588.809,3,2331,109.063,2,614,106.312,4,366,70.04711999,2.414214,160.5392,68.95870609,1,159.5392,70.04794844,2.414214,160.5392,95.23528188,1,217.6557,70.13508284,2.414214,160.5391,72.48518399,2.414214,174.8945
100,7.506454458,0.03051758,15.54871,4.018163051,0.01525879,10.63538,2.127102833,0.01525879,11.82556,1.478481864,0.01525879,6.103516,0.25640022,0.01525879,1.358032,0.265252734,0.01525879,0.9460449,2987.588,1,5929,1714.228,1,4355,802.782,1,4645,570.542,1,2384,107.712,1,655,114.624,2,396,71.57512958,2,161.0955,70.48685344,1,159.6813,71.57664582,2,161.0955,97.68033835,1,258.9199,71.5977239,2,161.0955,73.85265493,2,171.3381
150,16.0334779,0.06103516,34.24072,9.02578736,0.03051758,26.79443,4.506347432,0.03051758,27.49634,2.865108776,0.03051758,14.43481,0.519354818,0.03051758,3.234863,0.513456716,0.03051758,2.13623,6414.446,17,13483,3846.505,4,11144,1724.423,3,10937,1134.305,3,5548,234.278,2,1537,236.334,4,1002,102.2743005,2.414214,234.2083,101.1628567,1.414214,233.2083,102.2753716,2.414214,234.2083,140.1363685,1,341.9543,102.3554318,2.414214,234.2082,105.0431591,2.414214,257.6641
200,31.12701404,0.03051758,64.08691,16.93973031,0.03051758,43.79272,8.004473215,0.03051758,54.87061,4.665608174,0.03051758,20.93506,0.893190676,0.03051758,6.103516,0.865391322,0.03051758,3.387451,12120.487,3,23908,7142.024,2,17827,3033.915,2,20050,1834.749,2,8047,418.076,2,3051,409.774,4,1644,138.6872514,1,337.9068,137.5834781,1,336.4926,138.6893936,1,337.9068,192.1007382,1,459.229,138.8423387,1,337.9067,142.8676423,1,366.6053
250,48.66906117,0.2441406,103.4546,25.01574722,0.1220703,60.05859,14.0935002,0.03051758,99.4873,7.80440487,0.03051758,32.77588,1.552212631,0.03051758,9.887695,1.327099762,0.03051758,5.310059,18504.111,13,37077,10403.697,5,23830,5290.644,4,35732,3094.927,3,13804,747.017,3,5229,642.282,6,2248,182.7920029,2.414214,468.2328,181.6925561,1,466.8185,182.7942455,2.414214,468.2328,249.3565257,1,610.4818,182.9494828,2.414214,468.2327,187.4489517,2.414214,468.2327
300,74.75694742,0.06103516,160.7666,40.82440185,0.06103516,102.417,18.97098648,0.2441406,103.9429,10.09936137,0.06103516,38.69629,2.111620498,0.06103516,11.04736,1.971447799,0.06103516,7.141113,27629.578,2,54205,16669.988,2,40238,7053.185,2,36743,3968.853,2,15630,1027.94,2,5484,964.33,4,3680,208.6305832,1,450.6298,207.5057201,1,449.6298,208.6375294,1,450.6298,289.0106163,1,667.2717,208.9391741,1,450.6297,213.286432,3.414214,451.2571
350,102.0823071,0.2441406,221.9238,54.13738981,0.1220703,136.4746,23.45421298,0.1220703,124.0845,11.54090417,0.06103516,54.6875,2.559816965,0.06103516,12.93945,2.328442002,0.06103516,9.887695,36395.062,12,73732,21572.742,3,52348,8567.237,4,42455,4501.427,3,20144,1233.088,3,6548,1141.442,6,5310,227.6315154,2.414214,525.7423,226.5105464,1,524.9139,227.6332727,2.414214,525.7423,317.6197752,1,762.3001,227.8812144,2.414214,525.7424,231.980475,2.414214,540.2276
400,141.5290535,0.1220703,303.3447,76.51548082,0.2441406,204.834,31.27407204,0.1220703,189.5752,15.69924546,0.1220703,78.24707,3.412784849,0.1220703,18.67676,3.171494808,0.1220703,11.84082,48430.581,23,96362,29617.343,24,71121,11252.609,6,61021,6059.05,6,28654,1657.312,4,9551,1566.386,6,6320,263.9679479,5.242641,653.3807,262.8699036,4.828427,652.3807,263.9697056,5.242641,653.3807,369.0256496,5.242641,940.2341,264.1985515,5.24264,655.0383,268.9702396,5.24264,655.0385
450,190.4401866,0.2441406,398.4375,104.4233939,0.2441406,262.207,41.94512452,0.2441406,278.8086,20.63502022,0.2441406,103.7598,4.523176604,0.1220703,27.34375,4.252445482,0.1220703,15.86914,63249.969,75,121985,39327.791,40,93892,14720.037,6,86207,7888.587,6,37686,2192.123,4,13795,2113.912,8,8036,301.3457247,7.071068,709.1911,300.2310369,5.656854,707.7769,301.3470973,7.071068,709.1911,422.0237947,7.071068,957.7794,301.5656273,7.071068,709.1926,306.1161611,7.071068,715.636
500,227.3928236,0.2441406,519.5313,121.278565,0.2441406,335.4492,48.02361044,0.2441406,265.8691,22.76347592,0.2441406,106.4453,5.147360557,0.2441406,25.39063,4.726059062,0.2441406,18.55469,72954.023,101,150372,44877.929,75,112811,16870.405,10,84547,8737.293,10,38827,2521.346,3,13060,2374.384,6,10330,320.6126806,9,760.9182,319.5093596,8,759.9182,320.6146219,9,760.9182,448.7170553,11,1074.664,320.9008483,9,760.9202,325.7202297,9,771.7488
525,273.8435871,1.953125,596.1914,142.6783249,0.4882813,364.2578,57.37745057,0.2441406,312.7441,27.06120279,0.4882813,123.291,6.125483523,0.2441406,31.73828,5.591536362,0.2441406,20.75195,85060.659,16,166132,51784.962,9,121280,19695.915,3,94559,10228.679,3,43749,2963.476,2,15149,2791.164,4,10122,346.5099062,2.828427,761.7764,345.3981618,1.414214,760.7764,346.5126515,2.828427,761.7764,485.2052609,1.414214,1087.991,346.9609289,2.828427,765.6777,351.8609331,2.828427,766.5061
550,293.8076201,0.4882813,665.5273,154.0571305,0.4882813,423.8281,59.72964204,0.4882813,388.6719,28.44140674,0.4882813,147.9492,6.434180958,0.4882813,35.15625,6.083422075,0.4882813,27.34375,90315.441,182,182174,55605.881,170,137113,20310.796,67,114820,10757.403,58,53912,3074.472,8,18106,2980.322,10,13920,351.0782856,15.65685,807.5866,349.9761075,14.65685,806.1725,351.081357,15.65685,807.5866,493.5194566,20.95084,1158.427,351.4169215,15.65685,809.0034,355.9392785,15.65685,834.7191
575,329.5659206,0.9765625,786.1328,176.1708026,0.4882813,467.7734,66.66432105,0.4882813,362.793,32.1191998,0.4882813,190.4297,7.089139343,0.4882813,32.71484,6.638430747,0.4882813,27.34375,99305.854,248,199192,62224.819,105,150641,22480.794,24,105623,11924.156,17,64803,3385.751,10,16648,3288.344,16,14388,371.2288973,12.65685,862.2553,370.1145018,11.24264,861.2553,371.2332404,12.65685,862.2553,522.2741126,14.84819,1236.008,371.5122634,12.65685,862.258,376.0585447,12.65685,862.2582
600,371.5288127,2.929688,892.0898,195.0112326,1.464844,533.2031,70.09570472,0.4882813,404.2969,33.01446051,0.4882813,201.6602,7.503556935,0.4882813,37.10938,7.051736242,0.4882813,28.32031,108445.5,1438,217383,67428.259,637,163226,23545.611,180,116897,12287.679,105,66713,3577.787,27,18225,3466.158,34,14500,379.971783,38.97057,944.4494,378.854404,37.97057,943.0352,379.9760082,38.97057,944.4494,535.1900316,51.2548,1377.071,380.3720968,38.97057,944.4534,384.57898,38.97057,958.1691
625,397.8568453,0.9765625,921.875,213.2650597,0.9765625,594.7266,81.43911248,0.9765625,439.4531,38.10708249,0.9765625,186.5234,8.559796543,0.4882813,39.0625,7.953389943,0.4882813,32.22656,116151.237,40,235061,73562.22,24,175017,27103.856,9,129024,14238.934,7,64598,4050.623,5,19800,3903.31,6,16788,404.6945686,5.828427,948.0534,403.584123,4.828427,947.0534,404.6978414,5.828427,948.0534,566.2621419,7.064496,1340.395,405.1649144,5.828427,951.9561,409.8800901,5.828427,953.1279
650,452.4341707,1.953125,1051.758,235.8276294,0.9765625,665.0391,87.78037054,0.9765625,450.1953,40.99401233,0.9765625,226.5625,9.329660082,0.9765625,40.03906,8.794112446,0.9765625,35.15625,128824.141,54,254747,80585.76,34,194252,28950.491,11,129023,15227.579,8,76993,4432.304,4,20293,4327.534,6,19254,420.716516,6.414214,966.9521,419.6067291,5.414214,965.538,420.7196878,6.414214,966.9521,591.8289058,6.828427,1387.839,421.1373153,6.414214,966.9561,425.8717659,6.414214,984.2698
675,487.1189644,0.9765625,1155.273,255.9628966,0.9765625,690.4297,90.75658318,0.9765625,515.625,41.55337214,0.9765625,248.0469,9.632087338,0.9765625,44.92188,9.292571357,0.9765625,38.08594,136851.223,341,274393,86397.611,205,206079,29864.085,61,142194,15457.876,71,78043,4590.21,9,22190,4561.366,18,20454,427.4605225,19.72792,989.8817,426.3519952,18.31371,988.4675,427.4670497,19.72792,989.8817,603.2598906,25.52481,1429.332,427.8381827,19.72792,989.885,432.9219157,19.72792,995.2867
700,547.4775522,1.953125,1287.109,279.9557423,0.9765625,760.7422,102.9627641,0.9765625,581.0547,47.211002,0.9765625,223.6328,10.69487016,0.9765625,51.75781,10.15381155,0.9765625,39.0625,149189.245,747,295661,92772.982,393,219943,33512.922,64,166248,17443.284,50,78207,5187.505,15,26596,5003.324,22,19772,448.1682307,32.55634,1018.095,447.0697488,31.55635,1017.095,448.1749161,32.55634,1018.095,630.8956598,40.90004,1402.737,448.6189914,32.55635,1018.684,454.0103212,32.55635,1047.068
725,587.336931,1.953125,1417.969,299.9933586,0.9765625,900.3906,109.9122105,0.9765625,700.1953,51.74705086,0.9765625,278.3203,11.25430045,0.9765625,52.73438,10.83179028,0.9765625,44.92188,156455.188,771,316746,97887.794,403,244408,35572.721,97,171642,19038.493,77,94655,5397.184,19,26709,5390.192,34,23122,462.6589884,29.31371,1060.052,461.5440664,28.31371,1059.052,462.6613317,29.31371,1060.052,651.7518524,40.15091,1492.227,463.1621971,29.31371,1060.056,468.1341768,30.97056,1060.057
750,699.0859657,1.953125,1796.875,350.6905444,1.953125,988.2813,117.5149894,1.953125,679.6875,53.91565668,1.953125,306.6406,12.56057943,1.953125,56.64063,12.05392718,1.953125,46.875,175687.85,414,339936,109895.319,196,253389,37332.281,58,177096,19469.794,33,101298,5765.329,12,28437,5733.554,20,23710,481.9503662,16.89949,1110.774,480.8368591,15.89949,1109.36,481.9539815,16.89949,1110.774,682.487608,23.51527,1596.952,482.4131828,16.89949,1110.779,487.3162371,17.24264,1123.749
775,718.6814654,1.953125,1865.234,350.7159602,1.953125,1029.297,121.3098972,1.953125,632.8125,55.9646229,1.953125,257.8125,12.93319428,1.953125,54.6875,12.1780664,1.953125,42.96875,176754.922,140,362824,108931.62,113,259506,38118.874,27,171960,19974.955,21,86568,5917.22,8,27825,5806.046,10,22004,481.3925645,13.48528,1118.188,480.2919115,12.48528,1116.774,481.3964641,13.48528,1118.188,678.8888496,18.77927,1620.638,482.0220286,13.48528,1119.808,487.2978241,17.31371,1119.222
800,796.8652659,1.953125,1986.328,400.2146786,1.953125,1083.984,136.3958627,1.953125,708.9844,62.21562662,1.953125,320.3125,14.26379473,1.953125,87.89063,13.70487516,1.953125,54.6875,192327.524,1121,386625,121483.778,525,279524,42232.193,78,182727,22035.47,60,94815,6581.099,15,29200,6531.684,26,25808,505.3136549,32.79898,1233.897,504.2160986,31.79899,1232.897,505.3185838,32.79898,1233.897,714.8549417,43.10389,1713.146,505.7521896,32.79899,1234.488,510.7075213,32.79899,1235.075
825,844.0201021,1.953125,2191.406,425.206699,1.953125,1199.219,139.858269,1.953125,740.2344,64.65021582,1.953125,308.5938,14.75555907,1.953125,64.45313,14.1925724,1.953125,48.82813,199886.412,4,411311,127106.696,2,304854,43099.463,2,192087,22679.484,2,96022,6739.447,2,31779,6790.756,4,24906,515.2934972,1,1175.744,514.1869184,1,1175.329,515.2968699,1,1175.744,729.2524555,1,1709.533,515.8139037,1,1183.122,521.4255183,1,1180.435
850,974.1250376,1.953125,2484.375,481.8386966,1.953125,1320.313,160.7517944,1.953125,1027.344,73.43161641,1.953125,417.9688,16.51241292,1.953125,83.98438,15.81604595,1.953125,64.45313,223335.544,56,436336,141150.517,22,327245,49235.268,9,249268,25821.948,6,130847,7700.209,7,40353,7678.75,8,31548,547.5080792,6.24264,1338.068,546.3912581,5.242641,1337.068,547.5132099,6.24264,1338.068,772.5266756,6.656854,1893.637,548.0997415,6.24264,1340.902,553.4216979,6.242641,1340.902
875,1071.582071,1.953125,2628.906,512.0100761,1.953125,1404.297,169.3023122,1.953125,755.8594,76.72907197,1.953125,339.8438,17.21318981,1.953125,101.5625,16.74635403,1.953125,68.35938,238465.378,339,462473,148425.649,148,333044,51295.296,50,199218,26868.482,63,108062,8050.54,7,33654,8060.284,8,28464,564.8368825,16.31371,1315.879,563.7322847,14.89949,1315.051,564.8421958,16.31371,1315.879,800.089648,22.51527,1925.443,565.541357,16.31371,1317.056,570.7512009,16.31371,1337.5
900,1206.500968,3.90625,3218.75,574.7516375,3.90625,1699.219,177.9535973,1.953125,1111.328,79.56060264,1.953125,425.7813,18.47134864,1.953125,85.9375,18.09752764,1.953125,66.40625,248140.114,49,489091,155675.641,23,365152,52450.178,10,255788,27327.78,6,128964,8242.416,3,41884,8247.664,6,33608,562.889824,5.414214,1307.98,561.7676405,4.414214,1306.98,562.8913806,5.414214,1307.98,796.89705,5.414214,1871.376,563.4045342,5.414214,1308.572,568.7164257,5.414214,1311.5
925,1280.347738,3.90625,3507.813,619.9520259,3.90625,1964.844,192.1875151,3.90625,1132.813,87.17126882,3.90625,500,20.00825083,3.90625,125,19.4340165,3.90625,78.125,256246.95,1068,516543,163596.438,616,388717,56275.21,186,247902,29965.405,205,146867,8860.827,31,39840,8982.332,44,36722,582.8693315,32.55635,1387.718,581.7706997,31.14213,1387.304,582.8743426,32.55635,1387.718,824.8057544,45.38698,2073.753,583.5039046,32.55635,1388.512,588.6532808,32.55635,1405.198
950,1476.851646,3.90625,4015.625,721.7708289,3.90625,2171.875,223.341439,3.90625,1414.063,100.7757252,3.90625,535.1563,22.4075151,3.90625,136.7188,22.04301992,3.90625,82.03125,280324.686,858,545861,181394.545,574,415941,63474.484,171,283684,33802.306,85,150873,9947.258,32,45219,10065.644,24,35922,616.6314369,31.14213,1320.992,615.5175565,30.14213,1319.992,616.6340652,31.14213,1320.992,871.1512958,41.9581,1890.755,617.2733087,31.14213,1322.998,622.7913183,31.14214,1365.969
975,1508.528864,3.90625,4453.125,702.0162592,3.90625,2257.813,214.2092498,3.90625,1367.188,95.15499184,3.90625,511.7188,21.14488332,3.90625,93.75,20.97421448,3.90625,82.03125,284343.82,332,575315,179129.194,281,428013,61249.716,79,270901,32290.764,87,153028,9596.876,19,42531,9673.612,24,40556,606.1441653,20.14213,1435.275,605.0319237,18.72792,1434.659,606.1474383,20.14213,1435.275,857.6978955,27.2132,2028.918,606.7711064,20.14213,1435.666,611.8247346,20.14214,1436.252
1000,1591.861475,3.90625,4414.063,755.9181388,3.90625,2359.375,229.7056096,3.90625,1316.406,102.4660778,3.90625,554.6875,23.52269629,3.90625,97.65625,23.13800657,3.90625,85.9375,302150.842,252,605018,193302.566,129,450724,66584.673,31,292368,35130.533,35,159967,10547.478,8,46777,10704.822,10,40306,632.1289286,14.82843,1508.529,631.0047707,13.82843,1508.115,632.1328275,14.82843,1508.529,895.252788,18.24264,2116.368,632.6846874,14.82843,1510.778,637.8603403,14.82843,1510.778
1025,3363.281,3363.281,3363.281,2179.688,2179.688,2179.688,773.4375,773.4375,773.4375,312.5,312.5,312.5,66.40625,66.40625,66.40625,62.5,62.5,62.5,557547,557547,557547,426324,426324,426324,203977,203977,203977,109685,109685,109685,33007,33007,33007,31404,31404,31404,1160.135,1160.135,1160.135,1158.72,1158.72,1158.72,1160.135,1160.135,1160.135,1640.535,1640.535,1640.535,1161.796,1161.796,1161.796,1164.541,1164.541,1164.541
